date,gdp,imports,electricity,industrial_va,retail_sales,fixed_asset_investment,cpi
1978Q1,,,,,4.629906326766317,,
1978Q2,,,,,4.616944067899729,,
1978Q3,,,,,4.602597280798266,,
1978Q4,,,,,4.591414397892113,,
1979Q1,,,,,4.589626885082417,,
1979Q2,,,,,4.6015846013919415,,
1979Q3,,,,,4.623198655993683,,
1979Q4,,,,,4.641922942004655,,
1980Q1,,,,,4.648286654066551,,
1980Q2,,,,,4.641627181300095,,
1980Q3,,,,,4.62390940670387,,
1980Q4,,,,,4.602272943018372,,
1981Q1,,,,,4.588591378512514,,
1981Q2,,,,,4.5863600086704395,,
1981Q3,,,,,4.59249510397963,,
1981Q4,,,,,4.598128289222652,,
1982Q1,,,,,4.593632401419162,,
1982Q2,,,,,4.580365459276343,,
1982Q3,,,,,4.568006757675413,,
1982Q4,,,,,4.563949349683736,,
1983Q1,,,,,4.566930491308344,,
1983Q2,,,,,4.571452568164148,,
1983Q3,,,,,4.573852540636469,,
1983Q4,,,,,4.573833892495853,,
1984Q1,,,,,4.575934928176388,,
1984Q2,,,,,4.5854078768489535,,
1984Q3,,,,,4.60561928308098,,
1984Q4,,,,,4.631880846056806,,
1985Q1,,,,,4.651075108178464,,
1985Q2,,,,,4.6525079482923095,,
1985Q3,,,,,4.636991503152482,,
1985Q4,,,,,4.61639457262078,,
1986Q1,,,,,4.603630748129735,,
1986Q2,,,,,4.601117566272947,,
1986Q3,,,,,4.606131919028201,,
1986Q4,,,,,4.612891498047871,,
1987Q1,,,,,4.615975128490725,,
1987Q2,,,,,4.618302314053983,,
1987Q3,,,,,4.623346539707367,,
1987Q4,,,,,4.631406010187727,,
1988Q1,,,,,4.641704902845285,,
1988Q2,,,,,4.651488914591957,,
1988Q3,,,,,4.6588157801801175,,
1988Q4,,,,,4.6565553794432795,,
1989Q1,,,,,4.642703696196194,,
1989Q2,,,,,4.620778086977452,,
1989Q3,,,,,4.5906879679281225,,
1989Q4,,,,,4.559166759800606,,
1990Q1,,,,0.4741828360333545,4.539236973236003,,
1990Q2,,,,0.5067516463728647,4.5356392870118984,,
1990Q3,,,,0.5638420001515047,4.542758375456423,,
1990Q4,,,,0.6279758720603601,4.556640795961602,,
1991Q1,,,,0.6860779772978033,4.567508985015373,,
1991Q2,,,,0.7315463842559633,4.570712433720127,,
1991Q3,,,,0.7947872845708889,4.571337495773564,,
1991Q4,,,,0.8469161103452792,4.572936515969198,,
1992Q1,,,,0.9120872270825716,4.576536526429288,,
1992Q2,,,,1.0047374382164658,4.581756101709765,,
1992Q3,,,,1.0769369429128088,4.5914715366299275,,
