date,gdp,imports,electricity,industrial_va,retail_sales,fixed_asset_investment
2005-Q2,894.66376042406,402.5445218743484,757.9219064710923,457.51324704304375,892.3966188659177,857.062353231073
2005-Q3,897.8494083375805,409.2366823783229,759.7697328593134,461.0280198470799,896.8537506965176,864.5379082301938
2005-Q4,900.8907959082488,414.6768722957232,762.4618986159398,465.5414890285862,900.8264042936644,873.3009809905477
2006-Q1,904.0192765885356,415.68928279515546,770.8590264959,468.565203106422,908.4443832369096,873.7037732578392
2006-Q2,906.7429279436864,418.877503896317,769.2250254001358,472.695999994596,911.8199396267538,881.9850939198328
2006-Q3,909.5845506328492,419.8103731187017,773.9054410924824,476.3399407032248,914.8651451343064,886.9444138649656
2006-Q4,912.905469425306,421.6449266697024,777.1994534384488,479.9977657627087,917.2479792023364,889.148734328626
2007-Q1,916.9175358699136,437.6248963223133,777.4015077250727,485.9718984893457,919.2276521653504,901.3766538961864
2007-Q2,920.0947165114724,432.7664150625802,784.8387342242451,488.7732926526802,923.0413204420996,904.4614204991008
2007-Q3,922.7976463416268,433.48444773676016,788.2880796577185,492.3542739876932,924.3460946188886,909.4587310478609
2007-Q4,926.2377612326766,436.5656296839502,793.4477646621922,497.103142728809,927.184860069798,916.972889904322
2008-Q1,928.2793120562056,450.7244685456217,796.1753670724227,501.1002016622261,931.3768069518796,928.168077374828
2008-Q2,930.3527522106904,437.9608781184838,797.6354995804179,503.4864300119104,934.5972528432565,926.1636899524972
2008-Q3,931.6187936562974,441.25789650255786,797.1569062107552,505.75390139543714,938.8197392580096,934.6241464402252
2008-Q4,932.7582804293633,439.6850652963554,790.4703913873747,505.2835552537645,942.951170255896,939.0303820657724
2009-Q1,935.0419166051804,406.81453868919954,788.6682724704267,505.32547327484326,946.3619124524304,931.3115611949836
2009-Q2,938.2993555420376,434.42218690682506,794.1046518195018,510.609184154541,949.7926068655428,954.0046485031596
2009-Q3,941.5491547507104,444.86642376927625,802.109196304863,516.0764340263036,954.4496298467396,960.8567133983436
2009-Q4,944.1170421831808,446.2036128240578,809.3737213787155,520.410786892419,958.5612250956368,966.1072158789948
2010-Q1,946.4505358793232,455.9643318183236,810.3978129848011,524.2892881075566,963.3171116202994,974.3334849819826
2010-Q2,948.5546071673352,458.8264730266207,814.3023241288784,527.2332827122945,967.9890471783324,974.4392314235636
2010-Q3,950.9935042697742,456.8210272148504,814.1451920474294,529.1245533651575,972.1894079614606,981.4819286183118
2010-Q4,953.4792891446472,459.9880219742687,815.6309402703451,532.7841986979597,974.378633259704,985.7460119908004
2011-Q1,955.9118593577024,482.7493708012429,822.6760673287528,536.9961560580383,976.9849411641716,1007.1634126298592
2011-Q2,958.0897808807237,467.8102045503661,824.5016946524717,540.1671686503166,979.6966254790613,1004.2565215817448
2011-Q3,960.0181187519468,466.4840137204228,825.8318830146228,542.8399359073484,981.8681518536612,1006.3167209428682
2011-Q4,961.6992479224562,473.1225214997459,824.2940539276118,545.1805695856266,983.6617817288004,1012.9345592678516
2012-Q1,963.6484857343094,455.51808488013006,825.361819430769,547.4546062186269,986.1932897003276,999.4124664427025
2012-Q2,965.5756668927396,468.5499559962191,826.328110643039,549.4947831521292,989.8171858162468,1020.6156181944352
2012-Q3,967.324799487221,475.2295565099685,828.000142437597,551.8298699294343,992.6012043753998,1024.9301311865509
2012-Q4,969.405651973177,475.75926232749686,830.8026507032823,554.1682042709658,995.5181487185826,1030.879717031517
2013-Q1,971.2607142345556,484.7384983206133,835.6366946166888,557.0135559229304,997.4683876989516,1040.3555748397705
2013-Q2,972.9414930325928,486.6560714274775,834.0432146282928,558.8828673203699,999.8977024138334,1038.6558500291223
2013-Q3,974.9828445411812,485.0999234868182,837.5076478744401,561.0113858877696,1002.5095390464026,1043.1282161738989
2013-Q4,976.7299779861916,483.1769659349768,840.4069285140578,563.7217267870025,1004.5580144994886,1047.291397743433
2014-Q1,978.6006087404996,492.97907782133785,839.6786717553139,565.4582408089263,1006.5097911964712,1053.8160991328766
2014-Q2,980.3778282448862,486.1276975494199,840.8493774492897,567.5731296156811,1009.877020992168,1054.5351988913033
2014-Q3,982.0611521622276,484.1579069367758,842.4024716523772,569.49773087451,1011.3104327552136,1057.966906307883
2014-Q4,983.826765353615,490.1018911816503,843.4941378799509,571.0090271138454,1013.147696886905,1060.0891765193371
2015-Q1,985.4786342882976,481.47536659710966,844.3761913330354,572.3265079870906,1019.2253235729672,1063.95951887232
2015-Q2,987.221642516278,484.72171974455006,846.0707492429375,573.4935054572178,1021.5168409614312,1063.7342671057074
2015-Q3,988.8674127397758,488.178486357702,842.8099648222283,575.1980546331648,1024.9672914199582,1068.5488672780775
2015-Q4,990.4863227856092,484.4853666444764,843.8604426255839,576.5283059892138,1027.6694897715358,1069.2038863217329
2016-Q1,992.0555538574991,481.0275998738495,842.7946590902018,577.7788468865318,1027.5825402464516,1069.670129990653
2016-Q2,993.6729442992012,486.0809174684819,846.4087729729132,579.3729349999453,1029.2149246244246,1072.9711558467025
2016-Q3,995.4067113006004,486.3898259235542,850.3317365880589,581.0672706837389,1032.3574511788302,1073.7059542028342
2016-Q4,997.1253147947036,487.9966460264994,853.3991309692118,582.6954813449964,1034.2415688192518,1077.3295084444555
2017-Q1,998.7907648716148,489.5263295662998,858.2344025052242,583.9682155097258,1033.6231845136222,1070.945903914881
2017-Q2,1000.3619401809628,491.5131476482097,853.8210766638707,585.5827858752444,1038.5809794465652,1078.6440480262995
2017-Q3,1001.9372872074108,493.974588529559,859.3450281132991,587.3198247105057,1040.591425037349,1080.446632128589
2017-Q4,1003.4671146943346,495.2728406327635,857.0999325974764,588.6565604979374,1041.6625681740743,1078.8625885426538
