date,value,source,units,fetched_at
1998-01,8.695,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1998-02,9.101,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1998-03,11.775,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1998-04,11.654,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1998-05,11.239,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1998-06,11.84,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1998-07,11.929,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1998-08,10.848,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1998-09,11.522,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1998-10,11.666,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1998-11,12.358,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1998-12,17.61,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1999-01,9.893,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1999-02,8.713,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1999-03,14.368,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1999-04,13.824,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1999-05,13.651,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1999-06,14.517,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1999-07,13.913,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1999-08,13.443,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1999-09,15.26,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1999-10,13.788,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1999-11,16.907,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1999-12,17.422,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2000-01,15.258,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2000-02,13.428,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2000-03,17.806,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2000-04,18.355,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2000-05,16.966,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2000-06,20.3,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2000-07,19.49,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2000-08,20.785,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2000-09,20.713,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2000-10,18.943,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2000-11,21.641,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2000-12,21.414,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2001-01,15.545,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2001-02,18.226,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2001-03,20.773,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2001-04,21.859,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2001-05,18.809,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2001-06,21.252,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2001-07,20.957,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2001-08,22.162,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2001-09,21.851,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2001-10,18.902,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2001-11,20.846,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2001-12,22.39,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2002-01,18.97,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2002-02,15.918,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2002-03,22.486,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2002-04,25.753,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2002-05,22.435,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2002-06,23.094,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2002-07,26.988,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2002-08,27.206,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2002-09,29.794,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2002-10,25.197,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2002-11,28.735,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2002-12,28.734,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2003-01,31.016,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2003-02,23.78,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2003-03,32.549,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2003-04,34.601,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2003-05,31.604,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2003-06,32.336,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2003-07,36.514,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2003-08,34.621,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2003-09,41.652,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2003-10,35.193,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
